pos_start;pos_end;len;field;description;reportingFlagPosision;Vers;Definition;Commentary
93;;1;MAGER9;Mother’s Age Recode 9;;U,R;{"1":"under 15 years","2":"15-19 years","3":"20-24 years","4":"25-29 years","5":"30-34 years","6":"35-39 years","7":"40-44 years","8":"45-49 years","9":"50-64 years"};
94;95;2;MBCNTRY;Mother’s Birth Country;;R;{};This item is available in the territory file only, geographic codes are not available in the U.S. file.
96;108;13;FILLER;Filler;;;;
109;110;2;MRTERR;Mother’s Residence;;U,R;{"GU":"Guam","PR":"Puerto Rico","VI":"Virgin Islands","CC":"Canada","CU":"Cuba","MX":"Mexico","US":"United States","XX":"Not Applicable","ZZ":"Not Classifiable"};This item is available in the territory file only, geographic codes are not available in the U.S. file.
111;113;3;FILLER;Filler;;;;
114;116;3;MRCNTY;Mother’s County of residence;;;{"127":{"Puerto Rico":"San Juan", "Other Outlying Areas of the U.S.":""}, "999":{"Puerto Rico":"County less than 250,000", "Other Outlying Areas of the U.S.":"County less than 250,000"},"000":{"Puerto Rico":"", "Other Outlying Areas of the U.S.":"No county level geography"}};This item is available in the territory file only, geographic codes are not available in the U.S. file.
117;131;15;FILLER;Filler;;;;
132;;1;RCNTY_POP;Population of Residence County;;U,R;{"0":"County of 1,000,000 or more","1":"County of 500,000 to 1,000,000","2":"County of 250,000 to 500,000","9":"County less than 250,000","Z":"Foreign resident"};This item is available in the territory file only, geographic codes are not available in the U.S. file.
133;136;4;FILLER;Filler;;;;
137;;1;RECTYPE;Record Type;;U,R;{"1":"RESIDENT: State and county of occurrence and residence","2":"NONRESIDENT: State and county of occurrence and residence are different."};This item is available in the territory file only, geographic codes are not available in the U.S. file.
138;;1;RESTATUS;Residence Status;;U,R;{"1":{"United States":"RESIDENT: State and county of occurrence and residence are the same.", "Outlying areas of the US":"RESIDENT: State and county of occurrence and residence are the same. (Unique to Guam, all US residents are considered residents of Guam and thus are assigned 1.)"},"2":{"United States":"INTRASTATE NONRESIDENT: State of occurrence and residence are the same but county is different.", "Outlying areas of the US":"INTRATERRITORY NONRESIDENT: Territory of occurrence and residence are the same but county is different.// INTERTERRITORY RESIDENT: Territory of occurrence and residence are different but both are US Territories."},"3":{"United States":"INTERSTATE NONRESIDENT: State of occurrence and residence are different but both are one of the 50 US states or District of Columbia.", "Outlying areas of the US":"FOREIGN RESIDENT: The residence is not a US Territory."},"4":{"United States":"FOREIGN RESIDENT: The state of residence is not one of the 50 US states or District of Columbia.", "Outlying areas of the US":""}};
139;140;2;MBRACE;Mother’s Bridged Race;;R;{"01":"White – single race","02":"Black – single race","03":"American Indian – single race","04":"Asian Indian – single race","05":"Chinese – single race","06":"Filipino – single race","07":"Japanese – single race","08":"Korean – single race","09":"Vietnamese – single race","10":"Other Asian – single race","11":"Hawaiian – single race","12":"Guamanian – single race","13":"Samoan – single race","14":"Other Pacific Islander – single race","21":"White – bridged multiple race","22":"Black – bridged multiple race","23":"American Indian & Alaskan Native – bridged multiple race","24":"Asian / Pacific Islander – bridged multiple race"," ":"Not on certificate","00":"Other"};Includes only states reporting multiple race. Codes used for individuals reporting only one race. Codes 21-24 used for individuals reporting more than  one race that have been bridged to a single race. Code 24 also used for individuals reporting more than one Asian/Pacific Islander group.
141;142;2;MRACE;Mother’s Race;;U;{"01":{"United States":"White","Puerto Rico":"White","Guam":"White","All other Outlying Areas of the US":"White"},"02":{"United States":"Black","Puerto Rico":"Black","Guam":"Black","All other Outlying Areas of the US":"Black"},"03":{"United States":"American Indian/Alaskan Native","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":"American Indian/Alaskan Native"},"04":{"United States":"Chinese","Puerto Rico":"","Guam":"Chinese","All other Outlying Areas of the US":"Chinese"},"05":{"United States":"Japanese","Puerto Rico":"","Guam":"Japanese","All other Outlying Areas of the US":"Japanese"},"06":{"United States":"Hawaiian (includes part Hawaiian)","Puerto Rico":"","Guam":"Hawaiian (includes part Hawaiian)","All other Outlying Areas of the US":"Hawaiian (includes part Hawaiian)"},"07":{"United States":"Filipino","Puerto Rico":"","Guam":"Filipino","All other Outlying Areas of the US":"Filipino"},"18":{"United States":"Asian Indian","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":""},"28":{"United States":"Korean","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":""},"38":{"United States":"Samoan","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":""},"48":{"United States":"Vietnamese","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":""},"58":{"United States":"Guamanian","Puerto Rico":"","Guam":"Guamanian","All other Outlying Areas of the US":""},"68":{"United States":"Other Asian or Pacific Islander in areas reporting codes 18-58.","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":""},"78":{"United States":"Combined other Asian or Pacific Islander, includes 18-68 for areas that do not report them separately.","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":""},"00":{"United States":"","Puerto Rico":"Other races","Guam":"","All other Outlying Areas of the US":""},"08":{"United States":"","Puerto Rico":"","Guam":"Other Asian or Pacific Islander","All other Outlying Areas of the US":"Other Asian or Pacific Islander"}, " ":{"United States":"Not on certificate","Puerto Rico":"Not on certificate","Guam":"Not on certificate","All other Outlying Areas of the US":"Not on certificate"}};
143;;1;MRACEREC;Mother’s Race Recode;;U,R;{"1":{"United States and all Outlying Areas of the United States except Puerto Rico":"White","Puerto Rico":"White"},"2":{"United States and all Outlying Areas of the United States except Puerto Rico":"Black","Puerto Rico":"Black"},"3":{"United States and all Outlying Areas of the United States except Puerto Rico":"American Indian / Alaskan Native","Puerto Rico":""},"4":{"United States and all Outlying Areas of the United States except Puerto Rico":"Asian / Pacific Islander","Puerto Rico":""},"0":{"United States and all Outlying Areas of the United States except Puerto Rico":"","Puerto Rico":"Other (not classified as White or Black)"}};
144;;1;MRACEIMP;Mother’s Race Imputed;;U,R;{" ":"Mother's' race not imputed", "1":"Unknown race imputed","2":"All other races, formerly coded 09, imputed"};
145;147;3;FILLER;Filler;;;;
148;;1;UMHISP;Mother’s Hispanic Origin;569;U,R;{"0":"Non-Hispanic","1":"Mexican","2":"Puerto Rican","3":"Cuban","4":"Central or South American","5":"Other and Unknown Hispanic","9":"Origin unknown or not stated"};
149;;1;MRACEHISP;Mother’s Race/Hispanic Origin;569;U,R;{"1":"Mexican","2":"Puerto Rican","3":"Cuban","4":"Central or South American","5":"Other and Unknown Hispanic","6":"Non-Hispanic White","7":"Non-Hispanic Black","8":"Non-Hispanic Other Races","9":"Origin unknown or not stated"};
150;152;3;FILLER;Filler;;;;
153;;1;MAR;Mother’s Marital Status;652;U,R;{"1":{"United States and all Outlying Areas of the US except Puerto Rico":"Yes","Puerto Rico":"Yes"},"2":{"United States and all Outlying Areas of the US except Puerto Rico":"No","Puerto Rico":"Unmarried parents living together"}, "3":{"United States and all Outlying Areas of the US except Puerto Rico":"","Puerto Rico":"Unmarried parents not living together"}, "9":{"United States and all Outlying Areas of the US except Puerto Rico":"Unknown or not stated","Puerto Rico":"Unknown or not stated"}};
154;;1;MAR_IMP;Mother’s Marital Status Imputed;;U,R;{" ":"Marital Status not imputed","1":"Marital Status imputed"};
155;;1;MEDUC;Mother’s Education – Revised;571;R;{"1":"8th grade or less","2":"9th through 12th grade with no diploma","3":"High school graduate or GED completed","4":"Some college credit, but not a degree.","5":"Associate degree (AA,AS)","6":"Bachelor’s degree (BA, AB, BS) ","7":"Master’s degree (MA, MS, MEng, MEd, MSW, MBA)","8":"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","9":"Unknown", " ":"Not on cerificate"};
156;157;2;UMEDUC;Mother’s Educ–Unrevised;647;U;{"00":"No formal education","01":"1 year of elementary school","02":"2 years of elementary school","03":"3 years of elementary school","04":"4 years of elementary school","05":"5 years of elementary school","06":"6 years of elementary school","07":"7 years of elementary school","08":"8 years of elementary school","09":"1 year of high school","10":"2 years of high school","11":"3 years of high school","12":"4 years of high school","13":"1 year of college","14":"2 years of college","15":"3 years of college","16":"4 years of college","17":"5 or more years of college","99":"Not stated"," ":"Not on certificate"};
158;;1;MEDUC_REC;Mother’s Education Recode;647;U;{"1":"0 –8 years","2":"9 –11 years","3":"12 years","4":"13 –15 years","5":"16 years and over","6":"Not stated"," ":"Not on certificate"};
159;174;16;FILLER;Filler;;;;
175;;1;FAGERPT_FLG;Father’s Reported Age Used;;U,R;{" ":"Father’s reported age not used","1":"Father’s reported age used"};
176;181;6;FILLER;Filler;;;;
182;183;2;FAGECOMB;Father’s Combined Age (Revised);;R;{"99":"Unknown", " ":"Not on certificate"};09-98 Father’s combined age in years
184;185;2;UFAGECOMB;Father’s Combined Age (Unrevised);;U;{"99":"Unknown or not stated"};10-98 Father’s combined age in years
186;187;2;FAGEREC11;Father’s Age Recode 11;;U,R;{"01":"Under 15 years","02":"15-19 years","03":"20-24 years","04":"25-29 years","05":"30-34 years","06":"35-39 years","07":"40-44 years","08":"45-49 years","09":"50-54 years","10":"55-98 years","11":"Not stated"};
188;189;2;FBRACE;Father’s Bridged Race;;R,u;{"01":"White – single race","02":"Black – single race","03":"American Indian – single race","04":"Asian Indian – single race","05":"Chinese – single race","06":"Filipino – single race","07":"Japanese – single race more than one Asian/Pacific Islander group.","08":"Korean – single race","09":"Vietnamese – single race","10":"Other Asian – single race","11":"Hawaiian – single race","12":"Guamanian – single race","13":"Samoan – single race","14":"Other Pacific Islander – single race","21":"White – bridged multiple race","22":"Black – bridged multiple race","23":"American Indian & Alaskan Native – bridged multiple race","24":"Asian / Pacific Islander – bridged multiple race","99":"Unknown or not stated, also includes states not reporting multiple race"," ":"Not on certificate","00":"Other"};United States and non Puerto Rican Territories Includes only states reporting multiple race. Codes 01-14 used for individuals reporting only one race. Codes 21-24 used for individuals reporting more than  one race that have been bridged to a single race. Code 24 also used for individuals reporting
190;;1;FILLER;Filler;;;;
191;;1;FRACEREC;Father’s Race Recode;;U,R;{"1":{"United States and all Outlying Areas of the US except Puerto Rico":"White","Puerto Rico":"White"},"2":{"United States and all Outlying Areas of the US except Puerto Rico":"Black","Puerto Rico":"Black"},"3":{"United States and all Outlying Areas of the US except Puerto Rico":"American Indian / Alaskan Native","Puerto Rico":""},"4":{"United States and all Outlying Areas of the US except Puerto Rico":"Asian / Pacific Islander","Puerto Rico":""},"9":{"United States and all Outlying Areas of the US except Puerto Rico":"Unknown or not stated","Puerto Rico":"Unknown or not stated"},"0":{"United States and all Outlying Areas of the US except Puerto Rico":"","Puerto Rico":"Other (not classified as White or Black)"}};
192;194;3;FILLER;Filler;;;;
195;;1;UFHISP;Father’s Hispanic Origin;570;U,R;{"0":"Non-Hispanic","1":"Mexican","2":"Puerto Rican","3":"Cuban","4":"Central or South American","5":"Other and Unknown Hispanic","9":"Origin unknown or not stated"};
196;;1;FRACEHISP;Father’s Race/Hisp Origin;570;U,R;{"1":"Mexican","2":"Puerto Rican","3":"Cuban","4":"Central or South American","5":"Other and Unknown Hispanic","6":"Non-Hispanic White","7":"Non-Hispanic Black","8":"Non-Hispanic - Other Races","9":"Origin unknown or not stated"};
197;198;2;FILLER;Filler;;;;
199;200;2;UFRACE;Father’s Race (Unrevised);;U;{"01":{"United States":"White","Puerto Rico":"White","Guam":"White","All other Outlying Areas of the US":"White"},"02":{"United States":"Black","Puerto Rico":"Black","Guam":"Black","All other Outlying Areas of the US":"Black"},"03":{"United States":"American Indian/Alaskan Native","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":"American Indian/Alaskan Native"},"04":{"United States":"Chinese","Puerto Rico":"","Guam":"Chinese","All other Outlying Areas of the US":"Chinese"},"05":{"United States":"Japanese","Puerto Rico":"","Guam":"Japanese","All other Outlying Areas of the US":"Japanese"},"06":{"United States":"Hawaiian (includes part Hawaiian)","Puerto Rico":"","Guam":"Hawaiian (includes part Hawaiian)","All other Outlying Areas of the US":"Hawaiian (includes part Hawaiian)"},"07":{"United States":"Filipino","Puerto Rico":"","Guam":"Filipino","All other Outlying Areas of the US":"Filipino"},"18":{"United States":"Asian Indian","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":""},"28":{"United States":"Korean","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":""},"38":{"United States":"Samoan","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":""},"48":{"United States":"Vietnamese","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":""},"58":{"United States":"Guamanian","Puerto Rico":"","Guam":"Guamanian","All other Outlying Areas of the US":""},"68":{"United States":"Other Asian or Pacific Islander in areas reporting codes 18-58.","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":""},"78":{"United States":"Combined other Asian or Pacific Islander, includes 18-68 for areas that do not report them separately.","Puerto Rico":"","Guam":"","All other Outlying Areas of the US":""},"00":{"United States":"","Puerto Rico":"Other races","Guam":"","All other Outlying Areas of the US":""},"08":{"United States":"","Puerto Rico":"","Guam":"Other Asian or Pacific Islander","All other Outlying Areas of the US":"Other Asian or Pacific Islander"}};
201;211;11;FILLER;Filler;;;;
212;;1;LBO_REC;Live Birth Order Recode;;U,R;{"8":"8 or more live births","9":"Unknown or not stated"};1-7 Number of live birth order.
213;216;4;FILLER;Filler;;;;
217;;1;TBO_REC;Total Birth Order Recode;;U,R;{"8":"8 or more live births","9":"Unknown or not stated"};1-7 Number of live birth order.
218;219;2;FILLER;Filler;;;;
220;221;2;DLLB_MM;Date of Last Live Birth Month;;R;{"01":"January","02":"February","03":"March","04":"April","05":"May","06":"June","07":"July","08":"August","09":"September","10":"October","11":"November","12":"December","88":"Not applicable","99":"Unknown or not stated"};
222;225;4;DLLB_YY;Date of Last Live Birth Year;;R;{"8888":"Not applicable","9999":"Unknown or not stated"};nnnn Year of last live birth
226;244;19;FILLER;Filler;;;;
245;246;2;PRECARE;Month Prenatal Care Began (Revised);668;R;{"00":"No prenatal care","99":"Unknown or not stated"," ":"Not on certificate"};01-10 Month prenatal care began
247;;1;PRECARE_REC;Month Prenatal Care Began Recode (Revised);668;R;{"1":"1st to 3rd month","2":"4th to 6th month","3":"7th to final month","4":"No prenatal care","5":"Unknown"," ":"Not on certificate"};
248;255;8;FILLER;Filler;;;;
256;257;2;MPCB;Month Prenatal Care Began (Unrevised);669;U;{"00":"No prenatal care","99":"Unknown"," ":"Not on certificate"};01-10 Month prenatal care began
258;;1;MPCB_REC6;Month Prenatal Care Began Recode 6(Unrevised);669;U;{"1":"1st to 2rd month","2":"3rd month","3":"4th to 6th month","4":"7th to final month","5":"No prenatal care","6":"Unknown"," ":"Not on certificate"};
259;;1;MPCB_REC5;Month Prenatal Care Began Recode 5(Unrevised);669;U;{"1":"1st trimester (1st to 3rd month)","2":"2nd trimester (4th to 6th month)","3":"3rd trimester (7th to final month)","4":"No prenatal care","5":"Unknown"," ":"Not on certificate"};
260;269;10;FILLER;Filler;;;;
270;271;2;UPREVIS;Number of Prenatal Visits;671;U,R;{"99":"Unknown or not stated"};00-49 Number of prenatal visits
272;273;2;PREVIS_REC;Number of Prenatal Visits Recode;671;U,R;{"01":"No visits","02":"1 to 2 visits","03":"3 to 4 visits","04":"5 to 6 visits","05":"7 to 8 visits","06":"9 to 10 visits","07":"11 to 12 visits","08":"13 to 14 visits","09":"15 to 16 visits","10":"17 to 18 visits","11":"19 or more visits","12":"Unknown or not stated"};
274;;1;FILLER;Filler;;;;
275;;1;APNCU;Adequacy of Prenatal Care Utilization Index/Kotelchuck Index;668;R;{"1":"Inadequate","2":"Intermediate","3":"Adequate","4":"Adequate +","9":"Unknown"," ":"Not on certificate"};
276;277;2;WTGAIN;Weight Gain;648;U,R;{"98":"98 pounds and over","99":"Unknown or not stated"};00-97 Weight gain in pounds
278;;1;WTGAIN_REC;Weight Gain Recode;648;U,R;{"1":"Less than 11 pounds","2":"11 to 20 pounds","3":"21 to 30 pounds","4":"31 to 4 0 pounds","5":"41 to 98 pounds","9":"Unknown or not stated"};
279;;1;U_APNCU;Adequacy of Prenatal Care Utilization Index (Unrevised);669;U;{"1":"Inadequate","2":"Intermediate","3":"Adequate","4":"Adequate +","9":"Unknown"," ":"Not on certificate"};
280;;1;DFPC_IMP;Day of Date First Prenatal Care Imputed;;R;{" ":"Day of date first prenatal care not imputed","1":"Day of date first prenatal care imputed"};
281;283;3;FILLER;Filler;;;;
284;285;2;CIG_1;Cigarettes 1st Trimester;575;R;{"98":"98 or more cigarettes daily","99":"Unknown or not stated", " ":"Not on certificate"};00-97 Number of cigarettes daily
286;287;2;CIG_2;Cigarettes 2nd Trimester;575;R;{"98":"98 or more cigarettes daily","99":"Unknown or not stated", " ":"Not on certificate"};00-97 Number of cigarettes daily
288;289;2;CIG_3;Cigarettes 3rd Trimester;575;R;{"98":"98 or more cigarettes daily","99":"Unknown or not stated", " ":"Not on certificate"};00-97 Number of cigarettes daily
290;;1;TOBUSE;Tobacco Use;667;U;{"1":"Yes","2":"No","9":"Unknown or not stated"," ":"Unknown or not stated"};
291;292;2;CIGS;Cigarettes per Day;667;U;{"98":"98 or more cigarettes daily","99":"Unknown"," ":"Not on certificate"};00-97 Number of cigarettes daily
293;;1;UCIG_REC6;Cigarette Recode;667;U;{"0":"Non-smoker","1":"1 to 5 cigarettes daily","2":"6 to 10 cigarettes daily","3":"11 to 20 cigarettes daily","4":"21 to 40 cigarettes daily","5":"41 or more cigarettes daily","6":"Unknown"," ":"Not on certificate"};
294;;1;CIG_REC;Cigarette Recode (Revised);575;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
295;;1;ALCOHOL;Alcohol Use;649;U;{"1":"Yes","2":"No","9":"Unknown or not stated"," ":"Not on certificate"};
296;297;2;DRINKS;Drinks per Week;649;U;{"98":"98 or more drinks weekly","99":"Unknown or not stated"," ":"Not on certificate"}; 00-97 Number of drinks weekly
298;;1;DRINK5;Average Number of Drinks Per Week Recode;649;U;{"0":"Non drinker","1":"1 drink per week","2":"2 drinks per week","3":"3-4 drinks per week","4":"5 or more drinks per week","5":"Unknown or not stated"," ":"Not on certificate"};
299;312;14;FILLER;Filler;;;;
313;;1;RF_DIAB;Prepregnancy Diabetes;582;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
314;;1;RF_GEST;Gestational Diabetes;583;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
315;;1;RF_PHYP;Prepregnancy Hypertension;584;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
316;;1;RF_GHYP;Gestational Hypertension;585;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
317;;1;RF_ECLAM;Hypertension Eclampsia;586;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
318;;1;RF_PPTERM;Previous Preterm Birth;587;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
319;;1;RF_PPOUTC;Poor Pregnancy Outcome;588;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
320;323;4;FILLER;Filler;;;;
324;;1;RF_CESAR;Previous Cesareans;593;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
325;326;2;RF_CESARN;Previous Cesareans Num;594;R;{"00":"None","99":"Unknown"," ":"Not on certificate"};01-30 Number of previous cesareans
327;;1;FILLER;Filler;;;;
328;;1;URF_ANEMIA;Anemia;681;U;{"1":"Yes","2":"No","9":"Unknown"," ":"Not on certificate"};
329;;1;URF_CARDC;Cardiac;682;U;{"1":"Yes","2":"No","9":"Unknown"," ":"Not on certificate"};
330;;1;URF_LUNG;Acute or Chronic Lung Disease;683;U;{"1":"Yes","2":"No","9":"Unknown"," ":"Not on certificate"};
331;;1;URF_DIAB;Diabetes;684;U,R;{"1":"Yes","2":"No","9":"Unknown"," ":"Not on certificate"};
332;;1;URF_GEN;Genital Herpes;685;U;{"1":"Yes","2":"No","9":"Unknown"," ":"Not on certificate"};
333;;1;URF_HYDR;Hydramnios / Oligohydramnios;686;U;{"1":"Yes","2":"No","9":"Unknown"," ":"Not on certificate"};
334;;1;URF_HEMO;Hemoglobinopathy;687;U;{"1":"Yes","2":"No","9":"Unknown"," ":"Not on certificate"};
335;;1;URF_CHYPER;Cronic Hypertension;688;U,R;{"1":"Yes","2":"No","9":"Unknown"," ":"Not on certificate"};
336;;1;URF_PHYPER;Prepregnacny Associated Hypertension;689;U,R;{"1":"Yes","2":"No","9":"Unknown"," ":"Not on certificate"};
337;;1;URF_ECLAM;Eclampsia;690;U,R;{"1":"Yes","2":"No","9":"Unknown"," ":"Not on certificate"};
338;;1;URF_INCERV;Incompetent Cervix;691;U;{"1":"Yes","2":"No","9":"Unknown"," ":"Not on certificate"};
339;;1;URF_PRE4000;Previous Infant 4000+ Grams;692;U;{"1":"Yes","2":"No","9":"Unknown"," ":"Not on certificate"};
340;;1;URF_PRETERM;Previous Preterm/Small for Gestation;693;U;{"1":"Yes","2":"No","9":"Unknown"," ":"Not on certificate"};
341;;1;URF_RENAL;Renal Disease;694;U;{"1":"Yes","2":"No","9":"Unknown"," ":"Not on certificate"};
342;;1;URF_RH;Rh Sensitization;695;U;{"1":"Yes","2":"No","9":"Unknown"," ":"Not on certificate"};
343;;1;URF_UTERINE;Uterine Bleeding;696;U;{"1":"Yes","2":"No","9":"Unknown"," ":"Not on certificate"};
344;;1;URF_OTHER;Other medical risk factors;697;U;{"1":"Yes","2":"No","9":"Unknown"," ":"Not on certificate"};
345;350;6;FILLER;Filler;;;;
351;;1;OP_CERV;Cervical Cerclage;601;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
352;;1;OP_TOCOL;Tocolysis;602;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
353;;1;OP_ECVS;Successful External Cephalic Version;603;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
354;;1;OP_ECVF;Failed External Cephalic Version;604;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
355;;1;UOP_AMNIO;Amniocentesis;701;U;{"1":"Yes","2":"No","8":"Not on certificate" ,"9":"Unknown"," ":"Not on certificate"};
356;;1;UOP_MONIT;Electronic Fetal Monitoring;702;U;{"1":"Yes","2":"No","8":"Not on certificate" ,"9":"Unknown"," ":"Not on certificate"};
357;;1;UOP_INDUC;Induction of Labor;703;U,R;{"1":"Yes","2":"No","8":"Not on certificate" ,"9":"Unknown"," ":"Not on certificate"};
358;;1;UOP_STIML;Stimulation of Labor;704;U;{"1":"Yes","2":"No","8":"Not on certificate" ,"9":"Unknown"," ":"Not on certificate"};
359;;1;UOP_TOCOL;Tocolysis;705;U,R;{"1":"Yes","2":"No","8":"Not on certificate" ,"9":"Unknown"," ":"Not on certificate"};
360;;1;UOP_ULTRA;Ultrasound;706;U;{"1":"Yes","2":"No","8":"Not on certificate" ,"9":"Unknown"," ":"Not on certificate"};
361;;1;UOP_OTHER;Other Obstetric Procedures;707;U;{"1":"Yes","2":"No","8":"Not on certificate" ,"9":"Unknown"," ":"Not on certificate"};
362;;1;ON_RUPTR;Premature Rupture of Membrane;605;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
363;;1;ON_PRECIP;Precipitous Labor;606;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
364;;1;ON_PROL;Prolonged Labor;607;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
365;;1;LD_INDL;Induction of Labor;608;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
366;;1;LD_AUGM;Augmentation of Labor;609;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
367;;1;LD_NVPR;Non-Vertex Presentation;610;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
368;;1;LD_STER;Steroids;611;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
369;;1;LD_ANTI;Antibiotics;612;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
370;;1;LD_CHOR;Chorioamnionitis;613;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
371;;1;LD_MECS;Meconium Staining;614;R;{"Y":"Yes","N":"No","U":"Unknown"," ":"Not on certificate"};
