pos_start;pos_end;len;field;description;reportingFlagPosision;Vers;Definition;Commentary
44;45;2;MPLBIR;Place of Birth of Mother (Cont’d);;;{"01":"Alabama","02":"Alaska","03":"Arizona","04":"Arkansas","05":"California","06":"Colorado","07":"Connecticut","08":"Delaware","09":"District of Columbia","10":"Florida","11":"Georgia","12":"Hawaii","13":"Idaho","14":"Illinois","15":"Indiana","16 ":"Iowa","17":"Kansas","18":"Kentucky","19":"Louisiana","20":"Maine","21 ":"Maryland","22":"Massachusetts","23":"Michigan","24":"Minnesota","25":"Mississippi","26":"Missouri","27":"Montana","28":"Nebraska","29":"Nevada","30":"New Hampshire","31":"New Jersey","32":"New Mexico","33":"New York","34":"North Carolina","35":"North Dakota","36":"Ohio","37":"Oklahoma","38":"Oregon","39":"Pennsylvania","40":"Rhode Island","41":"South Carolina","42":"South Dakota","43":"Tennessee","44":"Texas","45":"Utah","46":"Vermont","47":"Virginia","48":"Washington","49":"West Virginia","50":"Wisconsin","51":"Wyoming","52":"Puerto Rico","53":"Virgin Islands","54":"Guam","55":"Canada","56":"Cuba","57":"Mexico","59":"Remainder of the World","99":"Not Classifiable"};
46;;1;MPLBIRR;Place of Birth of Mother Recode;;;{"1":"Born in the 50 States and D.C.","2":"Born outside the 50 States and DC","3":"Unknown or not stated"," ":"This item not recorded"};
47;48;2;DTOTORD;Detail Total Birth Order;;;{"99":"Unknown"};Sum of live birth order and other terminations of pregnancy.
49;50;2;DLIVORD;Detail Live Birth Order;;;{"99":"Unknown"};Sum of live births now living and now dead plus one
51;52;2;MONPRE;Detail Month of Pregnancy Prenatal Care Began;;;{"00 ":"No prenatal care","01 ":"1st month","02 ":"2nd month","03 ":"3rd month","04 ":"4th month","05 ":"5th month","06 ":"6th month","07 ":"7th month","08 ":"8th month","09 ":"9th month","99 ":"Unknown or not stated"};
53;;1;MPRE5;Month Prenatal Care Began Recode 5;;;{"1 ":"1st Trimester (1st-3rd month)","2 ":"2nd Trimester (4th-6th month)","3 ":"3rd Trimester (7th-9th month)","4 ":"No prenatal care","5 ":"Unknown or not stated"};
54;55;2;NPREVIST;Total Number of Prenatal Visits;;;{"00":"No prenatal visits","49":"49 or more visits","99":"Unknown or not stated"};Stated number of visits
56;;1;ADEQUACY;Adequacy of Care Recode (Kessner Index);;;{"1":"Adequate","2":"Intermediate","3":"Inadequate","4":"Unknown"};
57;59;3;FILLER;Filler;;;;
60;;1;FAGERFLG;Father’s Reported Age Used;;;{" ":"Father’s reported age not used","1":"Father’s reported age used"};
61;62;2;DFAGE;Father’s Reported Age;;;{"99":"Unknown or not stated"};09-98 Father’s reported age in years
63;;1;ORFATH;Hispanic Origin of Father;;;{"0":"Non-Hispanic","1":"Mexican","2":"Puerto Rican","3":"Cuban","4":"Central or South American","5":"Other and Unknown Hispanic","9":"Origin unknown or not stated"};
64;;1;ORRACEF;Hispanic Origin and Race of Father Recode;;;{"1":"Mexican","2":"Puerto Rican","3":"Cuban","4":"Central or South American","5":"Other and Unknown Hispanic","6":"Non-Hispanic White","7":"Non-Hispanic Black","8":"Non-Hispanic Other Races","9":"Origin unknown or not stated"};
65;66;2;FRACE_02;Race of Father (Cont’d);;;{"01":"White","02":"Black","03":"American Indian (includes Aleuts and Eskimos)","04":"Chinese","05":"Japanese","06":"Hawaiian (includes part-Hawaiian)","07":"Filipino","08":"Other Asian or Pacific Islander","58":"Guamanian","99":"Unknown or not stated"};
67;;1;PLDEL;Place or Facility of Delivery;;;{"1":"Hospital","2":"Freestanding Birth Center","3":"Clinic / Doctor’s Office","4":"Residence","5":"Other","9":"Unknown"};
68;;1;ATTEND;Attendant;;;{"1":"Doctor of Medicine (MD)","2":"Doctor of Osteopathy (DO)","3":"Certified Nurse Midwife (CNM)","4":"Other Midwife","5":"Other","9":"Unknown or not stated"};
69;;1;FILLER;Filler;;;;
70;;1;GESTESTM;Clinical Estimate of Gestation Used Flag;;;{" ":"Clinical Estimate is not used","1":"Clinical Estimate is used"};
71;72;2;CLINGEST;Clinical Estimate of Gestation;;;{"99":"Unknown"};17-47 17th through 47th week of Gestation
73;;1;GESTIMP;Gestation Imputed Flag;;;{" ":"Gestation is not imputed","1":"Gestation is imputed"};
74;75;2;GESTAT;Gestation - Detail in Weeks;;;{"99":"Unknown"};17-47 17th through 47th week of Gestation
76;77;2;GESTAT10;Gestation Recode 10;;U,R;{"01":"Under 20 weeks","02":"20-27 weeks","03":"28-31 weeks","04":"32-35 weeks","05":"36 weeks","06":"37-39 weeks","07":"40 weeks","08":"41 weeks","09":"42 weeks and over","10":"Unknown"};
78;;1;CSEXIMP;Imputed Sex;;;{" ":"Infant Sex not Imputed","1":"Infant Sex is Imputed"};
79;;1;CSEX_01;Sex of Infant;;;{"1":"Male","2":"Female"};
80;;1;BWTIMP;Imputed Birth Weight Flag;;;{" ":"Birth Weight is not imputed","1":"Birth Weight is imputed"};
81;84;4;DBIRWT;Imputed Birth Weight;;;{"9999":"Not stated birth weight"};0227-8165 Number of grams
85;86;2;BIRWT12;Birth Weight Recode 12 (Imputed);;;{"01":"499 grams or less","02":"500-999 grams","03":"1000-1499 grams","04":"1500-1999 grams","05":"2000-2499 grams","06":"2500-2999 grams","07":"3000-3499 grams","08":"3500-3999 grams","09":"4000-4499 grams","10":"4500-4999 grams","11":"5000-8165 grams","12":"Unknown or not stated"};
87;;1;BIRWT4;Birth Weight Recode 4 (Imputed);;;{"1":"1499 grams or less","2":"1500-2499 grams","3":"2500 grams or more","4":"Unknown or not stated"};
88;;1;PLURIMP;Plurality Imputed;;;{" ":"Plurality is imputed","1":"Plurality is not imputed"};
89;;1;DPLURAL;Plurality;;;{"1":"Single","2":"Twin","3":"Triplet","4":"Quadruplet","5":"Quintuplet or higher"};
90;91;2;FMAPS;Five Minute APGAR Score;;;{"99":"Unknown or not stated"};00-10 A score of 0-10
92;;1;VAGINAL;Vaginal;;;{"1":"The method was used","2":"The method was not used","8":"Method not on certificate","9":"Method unknown or not stated"};
93;;1;VBAC;Vaginal Birth After Previous C-Section;;;{"1":"The method was used","2":"The method was not used","8":"Method not on certificate","9":"Method unknown or not stated"};
94;;1;PRIMAC;Primary C-Section;;;{"1":"The method was used","2":"The method was not used","8":"Method not on certificate","9":"Method unknown or not stated"};
95;;1;REPEAC;Repeat C-Section;;;{"1":"The method was used","2":"The method was not used","8":"Method not on certificate","9":"Method unknown or not stated"};
96;;1;FORCEP;Forceps;;;{"1":"The method was used","2":"The method was not used","8":"Method not on certificate","9":"Method unknown or not stated"};
97;;1;VACUUM;Vacuum;;;{"1":"The method was used","2":"The method was not used","8":"Method not on certificate","9":"Method unknown or not stated"};
98;;1;FILLER;Filler;;;;
99;;1;DELMETH5;Delivery Method Recode;;;{"1":"Vaginal (excludes vaginal after previous C-section)","2":"Vaginal after previous c-section","3":"Primary C-section","4":"Repeat C-section","5":"Not stated"};
100;;1;MRFLAG;No Medical Risk Factors Reported Flag;;;{" ":"One or more medical risk factors coded, one, eight, or nine","2":"No medical risk factors reported. Each factor is coded a two."};
101;;1;ANEMIA;Anemia (Hct.<30/Hgb.<10);;;{"1":"Factor reported","2":"Factor not reported","8":"Factor not on certificate","9":"Factor not classifiable"};
102;;1;CARDIAC;Cardiac disease;;;{"1":"Factor reported","2":"Factor not reported","8":"Factor not on certificate","9":"Factor not classifiable"};
103;;1;LUNG;Acute or chronic lung disease;;;{"1":"Factor reported","2":"Factor not reported","8":"Factor not on certificate","9":"Factor not classifiable"};
104;;1;DIABETES;Diabetes;;;{"1":"Factor reported","2":"Factor not reported","8":"Factor not on certificate","9":"Factor not classifiable"};
105;;1;HERPES;Genital herpes;;;{"1":"Factor reported","2":"Factor not reported","8":"Factor not on certificate","9":"Factor not classifiable"};
106;;1;HYDRA;Hydramnios/Oligohydramnios;;;{"1":"Factor reported","2":"Factor not reported","8":"Factor not on certificate","9":"Factor not classifiable"};
107;;1;HEMO;Hemoglobinopathy;;;{"1":"Factor reported","2":"Factor not reported","8":"Factor not on certificate","9":"Factor not classifiable"};
108;;1;CHYPER;Hypertension, chronic;;;{"1":"Factor reported","2":"Factor not reported","8":"Factor not on certificate","9":"Factor not classifiable"};
109;;1;PHYPER;Hypertension, pregnancy-associated;;;{"1":"Factor reported","2":"Factor not reported","8":"Factor not on certificate","9":"Factor not classifiable"};
110;;1;ECLAMP;Eclampsia;;;{"1":"Factor reported","2":"Factor not reported","8":"Factor not on certificate","9":"Factor not classifiable"};
111;;1;INCERVIX;Incompetent cervix;;;{"1":"Factor reported","2":"Factor not reported","8":"Factor not on certificate","9":"Factor not classifiable"};
112;;1;PRE4000;Previous infant 4000+ grams;;;{"1":"Factor reported","2":"Factor not reported","8":"Factor not on certificate","9":"Factor not classifiable"};
113;;1;PRETERM;Previous preterm or small-for-gestational-age infant;;;{"1":"Factor reported","2":"Factor not reported","8":"Factor not on certificate","9":"Factor not classifiable"}
114;;1;RENAL;Renal disease;;;{"1":"Factor reported","2":"Factor not reported","8":"Factor not on certificate","9":"Factor not classifiable"};
115;;1;RH;Rh sensitization;;;{"1":"Factor reported","2":"Factor not reported","8":"Factor not on certificate","9":"Factor not classifiable"};
116;;1;UTERINE;Uterine bleeding;;;{"1":"Factor reported","2":"Factor not reported","8":"Factor not on certificate","9":"Factor not classifiable"};
117;;1;OTHERMR;Other Medical Risk Factors;;;{"1":"Factor reported","2":"Factor not reported","8":"Factor not on certificate","9":"Factor not classifiable"};
118;;1;TOBACCO;Tobacco Use During Pregnancy;;;{"1":"Yes","2":"No","9":"Unknown or not stated"};
119;120;2;CIGAR;Average Number of Cigarettes Per Day;;;{"98":"98 or more cigarettes daily","99":"Unknown or not stated"};00-97 Number of cigarettes daily
121;;1;CIGAR6;Average Number of Cigarettes Per Day Recode;;;{"0":"Non-smoker","1":"1-5 cigarettes per day","2":"6-10 cigarettes per day","3":"11-20 cigarettes per day","4":"21-40 cigarettes per day","5":"41 or more cigarettes per day","6":"Unknown or not stated"};
122;;1;ALCOHOL;Alcohol Use During Pregnancy;;;{"1":"Yes","2":"No","9":"Unknown or not stated"};
123;124;2;DRINK;Average Number of Drinks Per Week;;;{"98":"98 or more drinks per week","99":"Unknown or not stated"};As stated
125;;1;DRINK5;Average Number of Drinks Per Week Recode;;;{"0":"Non-drinker","1":"1 drink per week","2":"2 drinks per week","3":"3-4 drinks per week","4":"5 or more drinks per week","5":"Unknown or not stated"};
126;127;2;WTGAIN;Weight Gain;;;{"98":"98 pounds and over","99":"Unknown or not stated"};00-97 Weight gain in pounds
128;;1;WTGAIN9;Weight Gain Recode;;;{"1":"Less than 16 pounds","2":"16-20 pounds","3":"21-25 pounds","4":"26-30 pounds","5":"31-35 pounds","6":"36-40 pounds","7":"41-45 pounds","8":"46 or more pounds","9":"Unknown or not stated"};
129;;1;OBFLAG;Obstetric Flag;;;{" ":"One or more obstetric procedures coded, one, eight, or nine","2":"One or more obstetric procedures coded, one, eight, or nine"};
130;;1;AMNIO;Amniocentesis;;;{"1":"Procedure reported","2":"Procedure not reported","8":"Procedure not on certificate","9":"Procedure not classifiable"};
131;;1;MONITOR;Electronic fetal monitoring;;;{"1":"Procedure reported","2":"Procedure not reported","8":"Procedure not on certificate","9":"Procedure not classifiable"};
132;;1;INDUCT;Induction of labor;;;{"1":"Procedure reported","2":"Procedure not reported","8":"Procedure not on certificate","9":"Procedure not classifiable"};
133;;1;STIMULA;Stimulation of labor;;;{"1":"Procedure reported","2":"Procedure not reported","8":"Procedure not on certificate","9":"Procedure not classifiable"};
134;;1;TOCOL;Tocolysis;;;{"1":"Procedure reported","2":"Procedure not reported","8":"Procedure not on certificate","9":"Procedure not classifiable"};
135;;1;ULTRAS;Ultrasound;;;{"1":"Procedure reported","2":"Procedure not reported","8":"Procedure not on certificate","9":"Procedure not classifiable"};
136;;1;OTHEROB;Other Obstetric Procedures;;;{"1":"Procedure reported","2":"Procedure not reported","8":"Procedure not on certificate","9":"Procedure not classifiable"};
137;;1;FBFLAG;Labor Flag;;;{" ":"One or more labor and/or delivery complications coded, one, eight, or nine","2":"No labor and/or delivery complication reported. Each factor is coded a two"};
138;;1;FEBRILE;Febrile (>100 degrees F. or 38 degrees C.);;;{"1":"Complication reported","2":"Complication not reported","8":"Complication not on certificate","9":"Complication not classifiable"};
139;;1;MECONIUM;Meconium, moderate/heavy;;;{"1":"Complication reported","2":"Complication not reported","8":"Complication not on certificate","9":"Complication not classifiable"};
140;;1;RUPTURE;Premature rupture of membrane (>12 hours);;;{"1":"Complication reported","2":"Complication not reported","8":"Complication not on certificate","9":"Complication not classifiable"};
141;;1;ABRUPTIO;Abruptio placenta;;;{"1":"Complication reported","2":"Complication not reported","8":"Complication not on certificate","9":"Complication not classifiable"};
142;;1;PREPLACE;Placenta previa;;;{"1":"Complication reported","2":"Complication not reported","8":"Complication not on certificate","9":"Complication not classifiable"};
143;;1;EXCEBLD;Other excessive bleeding;;;{"1":"Complication reported","2":"Complication not reported","8":"Complication not on certificate","9":"Complication not classifiable"};
144;;1;SEIZURE;Seizures during labor;;;{"1":"Complication reported","2":"Complication not reported","8":"Complication not on certificate","9":"Complication not classifiable"};
145;;1;PRECIP;Precipitous labor (<3 hours);;;{"1":"Complication reported","2":"Complication not reported","8":"Complication not on certificate","9":"Complication not classifiable"};
146;;1;PROLONG;Prolonged labor (>20 hours);;;{"1":"Complication reported","2":"Complication not reported","8":"Complication not on certificate","9":"Complication not classifiable"};
147;;1;DYSFUNC;Dysfunctional labor;;;{"1":"Complication reported","2":"Complication not reported","8":"Complication not on certificate","9":"Complication not classifiable"};
148;;1;BREECH;Breech/Malpresentation;;;{"1":"Complication reported","2":"Complication not reported","8":"Complication not on certificate","9":"Complication not classifiable"};
149;;1;CEPHALO;Cephalopelvic disproportion;;;{"1":"Complication reported","2":"Complication not reported","8":"Complication not on certificate","9":"Complication not classifiable"};
150;;1;CORD;Cord prolapse;;;{"1":"Complication reported","2":"Complication not reported","8":"Complication not on certificate","9":"Complication not classifiable"};
151;;1;ANESTHE;Anesthetic complications;;;{"1":"Complication reported","2":"Complication not reported","8":"Complication not on certificate","9":"Complication not classifiable"};
152;;1;DISTRESS;Fetal distress;;;{"1":"Complication reported","2":"Complication not reported","8":"Complication not on certificate","9":"Complication not classifiable"};
153;;1;OTHERLB;Other Complications of Labor and/or Delivery;;;{"1":"Complication reported","2":"Complication not reported","8":"Complication not on certificate","9":"Complication not classifiable"};
154;;1;NBFLAG;Newborn Flag;;;{" ":"One or more abnormal conditions of the newborn coded, one, eight, or nine","2":"No abnormal condition of the newborn reported. Each factor is coded a two."};
155;;1;NANEMIA;Anemia Hct.>39/Hgb.<13);;;{"1":"Condition reported","2":"Condition not reported","8":"Condition not on certificate","9":"Condition not classifiable"};
156;;1;INJURY;Birth injury;;;{"1":"Condition reported","2":"Condition not reported","8":"Condition not on certificate","9":"Condition not classifiable"};
157;;1;ALCOSYN;Fetal alcohol syndrome;;;{"1":"Condition reported","2":"Condition not reported","8":"Condition not on certificate","9":"Condition not classifiable"};
158;;1;HYALINE;Hyaline membrane disease;;;{"1":"Condition reported","2":"Condition not reported","8":"Condition not on certificate","9":"Condition not classifiable"};
159;;1;MECONSYN;Meconium aspiration syndrome;;;{"1":"Condition reported","2":"Condition not reported","8":"Condition not on certificate","9":"Condition not classifiable"};
160;;1;VENL30;Assisted ventilation, less than 30 minutes;;;{"1":"Condition reported","2":"Condition not reported","8":"Condition not on certificate","9":"Condition not classifiable"};
161;;1;VEN30M;Assisted ventilation, 30 minutes or more;;;{"1":"Condition reported","2":"Condition not reported","8":"Condition not on certificate","9":"Condition not classifiable"};
162;;1;NSEIZ;Seizures;;;{"1":"Condition reported","2":"Condition not reported","8":"Condition not on certificate","9":"Condition not classifiable"};
163;;1;OTHERAB;Other Abnormal Conditions of the Newborn;;;{"1":"Condition reported","2":"Condition not reported","8":"Condition not on certificate","9":"Condition not classifiable"};
164;;1;CGFLAG;Congenital Flag;;;{" ":"One or more abnormal conditions of the newborn coded, one, eight, or nine","2":"No abnormal condition of the newborn reported. Each factor is coded a two."};
165;;1;ANEN;Anencephalus;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
166;;1;SPINA;Spina bifida/Meningocele;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
167;;1;HYDRO;Hydrocephalus;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
168;;1;MICROCE;Microcephalus;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
169;;1;NERVOUS;Other central nervous system anomalies;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
170;;1;HEART;Heart malformations;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
171;;1;CIRCUL;Other circulatory/respiratory anomalies;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
172;;1;RECTAL;Rectal atresia/stenosis;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
173;;1;TRACHEO;Tracheo-esophageal fistula/Esophageal atresia;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
174;;1;OMPHALO;Omphalocele/Gastroschisis;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
175;;1;GASTRO;Other gastrointestinal anomalies;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
176;;1;GENITAL;Malformed genitalia;;;{"1":"Anomaly reported","2":"Anomaly not reported","8":"Anomaly not on certificate","9":"Anomaly not classifiable"};
